season,climvar,modern_site_code,x,y,name,bioclim_val,pred_val,forms
rainy,t_mean,ASFQ10,76.60214845,11.50345721,chelsa_temp_rainy_6_11,16.133333333333326,20.533469438552856,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ12,76.88032238,11.49702101,chelsa_temp_rainy_6_11,17.41666666666663,21.236706495285034,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ15,76.7942723,11.48717461,chelsa_temp_rainy_6_11,16.34166666666664,21.221418619155884,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ16,76.7793,11.4651,chelsa_temp_rainy_6_11,16.691666666666663,20.774251461029053,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ17,76.62574652,11.4453058,chelsa_temp_rainy_6_11,15.19166666666672,19.711751699447632,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ18,76.78027378,11.44161317,chelsa_temp_rainy_6_11,16.191666666666663,20.483784317970276,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ19,76.61706892,11.44092801,chelsa_temp_rainy_6_11,15.433333333333337,19.860807180404663,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ22,76.66552,11.4226,chelsa_temp_rainy_6_11,15.125,19.74997079372406,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ23,76.62467365,11.41579618,chelsa_temp_rainy_6_11,14.15833333333336,19.17285716533661,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ25,76.72919502,11.41410156,chelsa_temp_rainy_6_11,13.574999999999989,18.737155437469482,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ27,76.66983965,11.41041649,chelsa_temp_rainy_6_11,14.941666666666663,19.623846530914307,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ28,76.62860337,11.4085924,chelsa_temp_rainy_6_11,14.766666666666708,19.490079164505005,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ29,76.78223094,11.40596375,chelsa_temp_rainy_6_11,14.15833333333336,19.493900537490845,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ3,76.59621913,11.51822191,chelsa_temp_rainy_6_11,19.35833333333329,22.47389829158783,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ31,76.66553779,11.39956613,chelsa_temp_rainy_6_11,14.949999999999989,19.704107522964478,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ32,76.67809,11.39455,chelsa_temp_rainy_6_11,15.150000000000034,19.83023178577423,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ34,76.76929652,11.39300698,chelsa_temp_rainy_6_11,16.024999999999977,20.08247983455658,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ36,76.88750854,11.38456603,chelsa_temp_rainy_6_11,18.83333333333337,22.06989061832428,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ37,76.66344467,11.38277077,chelsa_temp_rainy_6_11,15.858333333333292,19.776724934577942,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ39,76.7757081,11.37321922,chelsa_temp_rainy_6_11,17.32499999999999,21.263460516929626,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ41,76.6782102,11.35443825,chelsa_temp_rainy_6_11,15.59166666666664,20.105411052703857,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ42,76.6286255,11.35142201,chelsa_temp_rainy_6_11,15.833333333333314,20.31561851501465,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ43,76.57028335,11.34768537,chelsa_temp_rainy_6_11,13.774999999999977,19.66971004009247,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ45,76.58705588,11.34048546,chelsa_temp_rainy_6_11,14.266666666666652,19.58562743663788,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ46,76.70524849,11.33347855,chelsa_temp_rainy_6_11,16.17500000000001,20.629018306732178,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ47,76.56527554,11.32850959,chelsa_temp_rainy_6_11,13.691666666666663,18.767731428146362,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ48,76.73574117,11.32845085,chelsa_temp_rainy_6_11,17.724999999999966,21.385762929916382,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ50,76.61974909,11.31436879,chelsa_temp_rainy_6_11,16.17500000000001,20.636662006378174,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ51,76.67748725,11.31403575,chelsa_temp_rainy_6_11,15.399999999999977,20.139809250831604,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ52,76.66696305,11.30984907,chelsa_temp_rainy_6_11,15.433333333333337,20.430277228355408,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ53,76.73793628,11.30905469,chelsa_temp_rainy_6_11,18.558333333333337,22.169251799583435,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ55,76.56310215,11.30790616,chelsa_temp_rainy_6_11,14.974999999999966,20.58315408229828,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ56,76.61229999,11.30789132,chelsa_temp_rainy_6_11,15.941666666666663,20.506715416908264,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ58,76.58461073,11.30253438,chelsa_temp_rainy_6_11,15.925000000000011,20.47614026069641,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ59,76.7812738,11.29704546,chelsa_temp_rainy_6_11,19.133333333333383,22.417000889778137,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ60,76.66230637,11.29425705,chelsa_temp_rainy_6_11,16.73333333333335,20.586976408958435,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ61,76.5604073,11.28758052,chelsa_temp_rainy_6_11,13.608333333333405,19.016157507896423,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ62,76.57466976,11.28260159,chelsa_temp_rainy_6_11,14.058333333333337,19.577983856201172,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ63,76.68860598,11.28023945,chelsa_temp_rainy_6_11,17.883333333333326,21.683874130249023,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ65,76.5677996,11.27151582,chelsa_temp_rainy_6_11,14.108333333333405,19.241652607917786,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ67,76.58533724,11.26236515,chelsa_temp_rainy_6_11,14.416666666666629,19.490079164505005,"value ~ s(elev, k = 3)"
rainy,t_mean,ASFQ68,76.63119161,11.26118448,chelsa_temp_rainy_6_11,16.90833333333336,21.129692435264587,"value ~ s(elev, k = 3)"
