ID,climate_measure,season,year,value,alt,slope,aspect,modern_site_code,site_name,historical_site_code,modern_landCover_type
1,ppt,dry,1870,67.69386291503906,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1880,59.47370147705078,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1890,52.692237854003906,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1900,86.720703125,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1910,65.096710205078125,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1920,95.17533111572266,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1930,81.37676239013672,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1940,93.07740020751953,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1950,86.2950210571289,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1960,67.95802307128906,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1970,73.637420654296875,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1980,60.3939208984375,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,1990,59.974117279052734,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,2000,66.95111083984375,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,dry,2010,61.756046295166016,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1870,128.9564666748047,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1880,122.31645965576172,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1890,101.09814453125,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1900,144.96139526367188,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1910,193.76560974121094,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1920,212.33009338378906,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1930,233.45559692382812,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1940,222.90260314941406,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1950,169.39881896972656,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
1,ppt,rainy,1960,163.3998260498047,2023,4.184849739074707,15.799756050109863,AVLC1,Avalanche,AVLC,Shola Forest
